2017-04-06T13:58:29.233Z - info: T046GGDMC usage: 78305019
2017-04-06T13:58:29.235Z - info: T3T9JUKED usage: 2253520
2017-04-06T13:58:29.235Z - info: T02PG39GD usage: 552567598
2017-04-06T13:58:29.268Z - info: SET_NETWORK_STATUS : "online"
2017-04-06T13:58:29.459Z - info: Checking network connection to Slack...
2017-04-06T13:58:29.514Z - info: Bugsnag user: U02RY6D8B
2017-04-06T23:55:08.831Z - info: WebView received redirect request from https://zingle.slack.com/messages/@rremer/files/F4L3FUHS7/ to https://zingle.slack.com/messages/@rremer/files/F4L3FUHS7
2017-04-08T17:52:48.008Z - info: Couldn't tickle MS: Cannot read property 'maybeTickleMS' of undefined
2017-04-08T17:53:49.010Z - info: Couldn't tickle MS: Cannot read property 'maybeTickleMS' of undefined
2017-04-08T17:54:50.011Z - info: Couldn't tickle MS: Cannot read property 'maybeTickleMS' of undefined
2017-04-08T17:55:51.009Z - info: Couldn't tickle MS: Cannot read property 'maybeTickleMS' of undefined
2017-04-08T17:56:52.011Z - info: Couldn't tickle MS: Cannot read property 'maybeTickleMS' of undefined
2017-04-08T17:57:52.994Z - info: Couldn't tickle MS: Cannot read property 'maybeTickleMS' of undefined
2017-04-08T17:58:53.998Z - info: Couldn't tickle MS: Cannot read property 'maybeTickleMS' of undefined
2017-04-08T17:59:54.998Z - info: Couldn't tickle MS: Cannot read property 'maybeTickleMS' of undefined
2017-04-08T18:00:55.997Z - info: Couldn't tickle MS: Cannot read property 'maybeTickleMS' of undefined
2017-04-08T18:01:56.996Z - info: Couldn't tickle MS: Cannot read property 'maybeTickleMS' of undefined
2017-04-08T18:02:57.998Z - info: Couldn't tickle MS: Cannot read property 'maybeTickleMS' of undefined
2017-04-08T18:03:58.994Z - info: Couldn't tickle MS: Cannot read property 'maybeTickleMS' of undefined
2017-04-08T18:04:59.990Z - info: Couldn't tickle MS: Cannot read property 'maybeTickleMS' of undefined
2017-04-08T18:06:00.991Z - info: Couldn't tickle MS: Cannot read property 'maybeTickleMS' of undefined
2017-04-08T18:07:01.996Z - info: Couldn't tickle MS: Cannot read property 'maybeTickleMS' of undefined
2017-04-08T18:08:02.994Z - info: Couldn't tickle MS: Cannot read property 'maybeTickleMS' of undefined
2017-04-08T18:09:04.020Z - info: Couldn't tickle MS: Cannot read property 'maybeTickleMS' of undefined
2017-04-08T18:10:05.012Z - info: Couldn't tickle MS: Cannot read property 'maybeTickleMS' of undefined
2017-04-08T18:11:06.009Z - info: Couldn't tickle MS: Cannot read property 'maybeTickleMS' of undefined
2017-04-08T18:12:07.007Z - info: Couldn't tickle MS: Cannot read property 'maybeTickleMS' of undefined
2017-04-08T18:13:08.011Z - info: Couldn't tickle MS: Cannot read property 'maybeTickleMS' of undefined
2017-04-08T18:14:08.994Z - info: Couldn't tickle MS: Cannot read property 'maybeTickleMS' of undefined
2017-04-08T18:15:09.992Z - info: Couldn't tickle MS: Cannot read property 'maybeTickleMS' of undefined
2017-04-08T18:16:11.012Z - info: Couldn't tickle MS: Cannot read property 'maybeTickleMS' of undefined
2017-04-08T18:17:11.994Z - info: Couldn't tickle MS: Cannot read property 'maybeTickleMS' of undefined
2017-04-08T18:18:12.993Z - info: Couldn't tickle MS: Cannot read property 'maybeTickleMS' of undefined
2017-04-08T18:19:13.991Z - info: Couldn't tickle MS: Cannot read property 'maybeTickleMS' of undefined
2017-04-08T18:20:14.992Z - info: Couldn't tickle MS: Cannot read property 'maybeTickleMS' of undefined
2017-04-08T18:21:15.997Z - info: Couldn't tickle MS: Cannot read property 'maybeTickleMS' of undefined
2017-04-08T18:22:16.992Z - info: Couldn't tickle MS: Cannot read property 'maybeTickleMS' of undefined
2017-04-08T18:23:17.995Z - info: Couldn't tickle MS: Cannot read property 'maybeTickleMS' of undefined
2017-04-08T18:24:18.993Z - info: Couldn't tickle MS: Cannot read property 'maybeTickleMS' of undefined
2017-04-08T18:25:19.990Z - info: Couldn't tickle MS: Cannot read property 'maybeTickleMS' of undefined
2017-04-08T18:26:20.993Z - info: Couldn't tickle MS: Cannot read property 'maybeTickleMS' of undefined
2017-04-08T18:27:21.995Z - info: Couldn't tickle MS: Cannot read property 'maybeTickleMS' of undefined
2017-04-08T18:28:22.994Z - info: Couldn't tickle MS: Cannot read property 'maybeTickleMS' of undefined
2017-04-08T18:29:23.990Z - info: Couldn't tickle MS: Cannot read property 'maybeTickleMS' of undefined
2017-04-08T18:30:24.991Z - info: Couldn't tickle MS: Cannot read property 'maybeTickleMS' of undefined
2017-04-08T18:31:25.992Z - info: Couldn't tickle MS: Cannot read property 'maybeTickleMS' of undefined
2017-04-08T18:32:26.994Z - info: Couldn't tickle MS: Cannot read property 'maybeTickleMS' of undefined
2017-04-08T18:33:27.993Z - info: Couldn't tickle MS: Cannot read property 'maybeTickleMS' of undefined
2017-04-08T18:34:28.993Z - info: Couldn't tickle MS: Cannot read property 'maybeTickleMS' of undefined
2017-04-08T18:35:29.991Z - info: Couldn't tickle MS: Cannot read property 'maybeTickleMS' of undefined
2017-04-08T18:36:30.996Z - info: Couldn't tickle MS: Cannot read property 'maybeTickleMS' of undefined
2017-04-08T18:37:31.998Z - info: Couldn't tickle MS: Cannot read property 'maybeTickleMS' of undefined
